Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
tipo	N	159722	416.045	477.635
contra	P	159116	414.466	475.823
nunca	R	158926	413.971	475.254
historia	N	158496	412.851	473.968
buscar	V	158214	412.117	473.125
mucho	R	156041	406.456	466.627
casi	R	155923	406.149	466.274
segundo	M	155521	405.102	465.072
según	P	154641	402.81	462.44
presidente	N	154537	402.539	462.129
medio	N	153118	398.842	457.886
además	R	152646	397.613	456.475
proceso	N	151665	395.058	453.541
partido	N	150871	392.989	451.167
mes	N	149590	389.653	447.336
político	A	148607	387.092	444.396
noche	N	148212	386.063	443.215
alto	A	147612	384.5	441.421
menos	R	146913	382.68	439.331
cambio	N	144483	376.35	432.064
existir	V	144132	375.436	431.014
solo	R	143633	374.136	429.522
agua	N	143428	373.602	428.909
mientras	C	143120	372.8	427.988
mí	L	143025	372.552	427.704
aquí	R	142856	372.112	427.198
equipo	N	142814	372.003	427.073
tanto	R	142798	371.961	427.025
obra	N	142209	370.427	425.264
cuenta	N	141404	368.33	422.856
varios	Q	140778	366.699	420.984
estudio	N	139428	363.183	416.947
centro	N	139322	362.907	416.63
empresa	N	138683	361.242	414.719
ninguno	Q	138225	360.049	413.35
más	Q	137701	358.684	411.783
servicio	N	137323	357.7	410.652
//	Y	136644	355.931	408.622
sin embargo	R	136522	355.613	408.257
trabajar	V	136335	355.126	407.698
empezar	V	136186	354.738	407.252
lado	N	136036	354.347	406.804
tras	P	135809	353.756	406.125
nivel	N	135147	352.031	404.145
gente	N	133646	348.122	399.657
mantener	V	133309	347.244	398.649
pequeño	A	133259	347.114	398.499
recordar	V	132595	345.384	396.514
explicar	V	132077	344.035	394.965
desarrollo	N	131134	341.578	392.145
proyecto	N	130675	340.383	390.772
preguntar	V	129889	338.335	388.422
creer	V	129600	337.583	387.557
madre	N	129570	337.504	387.468
considerar	V	128719	335.288	384.923
recibir	V	128702	335.244	384.872
lograr	V	128365	334.366	383.864
largo	A	128021	333.47	382.836
comenzar	V	126566	329.68	378.485
pedir	V	125864	327.851	376.385
situación	N	125749	327.552	376.041
derecho	N	125729	327.499	375.982
información	N	125451	326.775	375.15
único	A	125163	326.025	374.289
perder	V	124797	325.072	373.195
familia	N	124450	324.168	372.157
semana	N	124133	323.342	371.209
ojo	N	123789	322.446	370.18
entrar	V	122938	320.229	367.635
relación	N	122932	320.214	367.617
ejemplo	N	122398	318.823	366.021
palabra	N	120558	314.03	360.518
actividad	N	120550	314.009	360.494
aún	R	120491	313.855	360.318
dentro	R	120383	313.574	359.995
económico	A	119891	312.293	358.524
libro	N	119083	310.188	356.107
cuatro	M	118903	309.719	355.569
cuerpo	N	118751	309.323	355.115
fin	N	118421	308.464	354.128
humano	A	117944	307.221	352.701
mostrar	V	117931	307.187	352.662
tema	N	117104	305.033	350.189
abrir	V	116871	304.426	349.493
programa	N	116761	304.14	349.164
salud	N	116678	303.923	348.915
posible	A	116559	303.613	348.56
producir	V	116361	303.098	347.967
convertir	V	115521	300.91	345.455
pasado	A	115031	299.633	343.99
hecho	N	113988	296.916	340.871
a través de	P	113350	295.255	338.963
resultado	N	113229	294.939	338.601
nadie	Q	112775	293.757	337.244
usted	L	112724	293.624	337.091
ley	N	112715	293.601	337.064
entender	V	112268	292.436	335.728
poco	R	111672	290.884	333.945
señalar	V	111233	289.74	332.633
cualquiera	Q	109352	284.841	327.008
nombre	N	109349	284.833	326.999
idea	N	109036	284.017	326.063
diferente	A	108339	282.202	323.978
zona	N	108047	281.441	323.105
general	A	107456	279.902	321.338
internacional	A	106388	277.12	318.144
número	N	106295	276.878	317.866
ganar	V	106004	276.12	316.996
allí	R	105214	274.062	314.633
sector	N	104271	271.606	311.813
final	N	104079	271.105	311.239
terminar	V	104019	270.949	311.06
paso	N	102574	267.185	306.739
España	K	102080	265.898	305.261
gustar	V	101789	265.14	304.391
espacio	N	101756	265.054	304.292
